TweeterName,TotalMentions
Scoop.it,234
Getting Smart,63
Dylan Wiliam,59
Edudemic,56
edX,49
Zite ,45
Digital Learning Now,40
edutopia,37
Tina Barseghian,33
LSEImpactBlog,33
The Guardian,33
Med Kharbach,33
TED Global,31
Surya Ray,29
The Health Care Blog,22
YouTube,22
Steve Hayes,21
Peter Suber,19
Khan Academy,19
EdSurge,19
TeachThought,18
Jihoon Jeong,18
Andrew Miller,18
tressie mc,18
anant agarwal,18
Learning Accelerator,18
Steve Wheeler,17
Audrey Watters,17
US EPA News,17
Ana Cristina Pratas,17
GlobalHigherEd,16
AspirePublicSchools,16
GigaOM,16
Tom Vander Ark,14
Richard Byrne,14
Mary Bart,14
Upside Learning,13
Paul Kelba,13
Community College,13
Mike Painter,13
Bruno Reddy,12
NikPeachey,12
DEAKIN UNIVERSITY,12
Scott Benson,12
allvoices,11
PLOS,11
VentureBeat,11
ShareThis,11
Carri Schneider,10
LearnLaunch,10
Paul Holland,10
Cammy Bean,10
Kristina Keneally,10
Inside Higher Ed,10
Sheryl NussbaumBeach,10
Education Week,10
John Evans,10
Sarah Kendzior,9
thomas ro,9
"Tim Clark, Ed.D.",9
Jeff Kerscher,9
Edmodo,9
Mad Crazy Facts,9
IHE Technology,9
itslearning,9
Syun Tutiya,9
Psy-sick wenmensch,8
Paul Ayris,8
Kate Bowles,8
Tim Childers,8
Edgenuity,8
TED News,8
ID Innovations,8
WilmerHale,8
BoyFriend,8
Black Boe,8
msokeeffesclass,7
Knewton,7
Bob Wise,7
BlendMyLearning,7
Julianne Dalcanton,7
Elsie S. Kanza,7
Rocketship Education,7
All4ed,7
stewartmar,7
David Andrews,7
WebTeachers,6
Launchnest,6
Gary Stairs,6
Steven W. Anderson,6
Cher Kachelmuss,6
The Google Fact,6
RWJF Pioneer,6
Xaverian High School,6
Micromax Mobile,6
Dorri Bradley,6
Kim Flintoff,6
David Dowell,6
