TweeterName,TotalTweets
Raj,68
Dan O'Brien,30
Health Knowledge,17
Kevan Santhush,15
Anna Hu ,14
Carri Schneider,13
freelance health,13
kumara ratna,12
ID Innovations,12
ria berbano,12
"Tim Clark, Ed.D.",11
DreamBox Learning,11
Lalitha Wickrama,11
healthqanda,11
Nick Chater,10
Mark Ragan,10
RizKhan MakeUpArtist,10
Las Vegas Healthcare,10
Aprendeme,10
Jenifer Phillips,10
Steve Hayes,9
Francesca Beltrami,9
Cheryl,9
Jason R. Levine,9
Vladimir Kukharenko,9
Andy Petroski,9
Paulo Sim,9
StudyPal,9
Digital Learning Now,8
Minnal K Dhingra,8
Akkshay Chugh,8
E-Learning Solutions,8
David Wallace,7
Launchnest,7
Patric Lougheed,7
ellen cheshire,7
Julie Balen,7
tressie mc,7
Gordon Dahlby,7
Talent & E-learning,7
asok de law,7
EDUBEAT,7
iLearnNYC,7
RT2Gain & Enjoy!,7
Shell,7
TEDxJohannesburg,7
OSTI Test,6
Ana Cristina Pratas,6
Ginger Anderson,6
Retweet To GAIN!,6
Dr Timothy,6
Unlimited elearning,6
Derek McCoy,6
RT = GanaFollowers,6
TED Global,6
Sam Patterson,6
Climate Change,6
Chris Bell,6
Science.gov,6
GSV Edu,6
Martin Henery,6
Eduardo D'adaz- AER,6
Rita Verduin,6
laura spencer,6
Priya Baddana,6
ednak,6
BostonTweetUp,6
Lisa Dubernard,6
Pandula Siribaddana,6
Getting Smart,6
John Evans,6
Christopher Pappas,5
HELIX Higher Ed,5
SophiaLJohnson,5
siri pen,5
Silverback Learning,5
clickbanktopproducts,5
UoPeople,5
Manufacturing Exec.,5
Amanda DeCardy,5
omara,5
Scott Kinkoph,5
Angela Grandstaff,5
Eduora,5
VoipTown Voip Forum,5
Live!,5
Sean Robinson,5
uwcesedtech,5
Monte Tatom,5
Demetrios G Sampson,5
G M Sastry,5
UCOL Ed Tech,5
Hazel Mason,5
Patrick Fogarty,5
BellaRavenport,5
John Phillips,5
Jessica V Allen,5
IEEE Education Soc.,5
ED+TECH,5
